                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.88779,                 1.1817,                 1.4812,                0.91925,                0.37328,                0.46755,                 0.3401,                 1.6703,                 2.2885,                 1.4921,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.94653,                 1.0929,                 1.2686,                0.91925,                0.37328,                0.46755,                 0.3401,                 1.6703,                 2.2885,                 1.4921,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.94367,                 1.9078,                 1.3044,                0.91564,                0.37307,                0.45402,                0.31958,                 1.6865,                 2.2938,                 1.5057,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.80186,                 1.4178,                 1.2053,                0.91564,                0.37307,                0.45402,                0.31958,                 1.6865,                 2.2938,                 1.5057,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.72501,                 1.2463,                 1.1385,                0.91889,                0.37301,                0.45406,                 0.3365,                 1.6927,                 2.3167,                 1.5187,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.44689,                0.92238,                0.95133,                0.91889,                0.37301,                0.45406,                 0.3365,                 1.6927,                 2.3167,                 1.5187,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.79229,                0.87637,                 1.0844,                0.91897,                0.37285,                0.45252,                0.33626,                 1.6875,                 2.3481,                 1.5082,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.65251,                0.75418,                 1.0605,                0.91897,                0.37285,                0.45252,                0.33626,                 1.6875,                 2.3481,                 1.5082,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.67077,                0.89735,                 1.0147,                0.92246,                  0.373,                0.45222,                0.33641,                 1.7006,                  2.375,                 1.5131,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.54843,                 1.5456,                 1.0408,                0.92246,                  0.373,                0.45222,                0.33641,                 1.7006,                  2.375,                 1.5131,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0399,                 1.3156,                 1.3184,                0.94065,                  0.389,                0.45866,                0.33978,                 1.7061,                 2.3737,                 1.5197,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.89699,                0.89839,                 1.3235,                0.94065,                  0.389,                0.45866,                0.33978,                 1.7061,                 2.3737,                 1.5197,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.60767,                0.76427,                  1.001,                0.94164,                0.38895,                0.45102,                0.33253,                 1.7264,                 2.4106,                 1.5267,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.71671,                0.96787,                 1.1539,                0.94164,                0.38895,                0.45102,                0.33253,                 1.7264,                 2.4106,                 1.5267,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 0.8296,                 1.6842,                 1.2523,                0.94194,                0.39125,                0.44892,                0.32382,                 1.7364,                 2.4321,                 1.5166,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.92627,                 1.4619,                 1.2628,                0.94194,                0.39125,                0.44892,                0.32382,                 1.7364,                 2.4321,                 1.5166,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.83946,                0.92887,                 1.2992,                0.94145,                0.39205,                0.45081,                0.32482,                 1.7656,                 2.4124,                 1.5465,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 0.6635,                 1.0794,                 1.2045,                0.94145,                0.39205,                0.45081,                0.32482,                 1.7656,                 2.4124,                 1.5465,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.78015,                0.85018,                 1.1405,                0.94252,                0.39189,                0.44931,                0.32388,                 1.7556,                 2.4034,                 1.5296,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.80502,                0.86746,                 1.2221,                0.94252,                0.39189,                0.44931,                0.32388,                 1.7556,                 2.4034,                 1.5296,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.65049,                0.71508,                 1.1972,                0.94252,                0.39189,                0.44931,                0.32388,                 1.7556,                 2.4034,                 1.5296,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.77194,                0.84442,                 1.2334,                0.94377,                0.39271,                0.42212,                0.29937,                 1.7588,                 2.4042,                 1.5278,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.69178,                0.89548,                  1.044,                0.94377,                0.39271,                0.42212,                0.29937,                 1.7588,                 2.4042,                 1.5278,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.1739,                 1.6432,                 1.5739,                0.94377,                0.39271,                0.42212,                0.29937,                 1.7588,                 2.4042,                 1.5278,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0343,                 1.4314,                 1.3599,                0.94631,                0.39012,                0.42217,                0.29388,                 1.7669,                 2.4368,                 1.5365,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.82829,                 1.3777,                 1.2705,                0.94631,                0.39012,                0.42217,                0.29388,                 1.7669,                 2.4368,                 1.5365,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.75426,                0.73294,                 1.1653,                0.94631,                0.39012,                0.42217,                0.29388,                 1.7669,                 2.4368,                 1.5365,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.95963,                0.80131,                 1.4972,                0.94519,                 0.3904,                0.42482,                0.27485,                 1.7815,                 2.4285,                 1.5404,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.60262,                 0.6938,                 1.0647,                0.94519,                 0.3904,                0.42482,                0.27485,                 1.7815,                 2.4285,                 1.5404,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.70266,                0.86854,                 1.0547,                0.94519,                 0.3904,                0.42482,                0.27485,                 1.7815,                 2.4285,                 1.5404,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 0.7496,                0.81271,                 1.1469,                0.94597,                0.39088,                0.42485,                0.27397,                 1.8266,                 2.4783,                 1.5974,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.66171,                0.69083,                  1.084,                0.94597,                0.39088,                0.42485,                0.27397,                 1.8266,                 2.4783,                 1.5974,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.58652,                0.83495,                 1.1829,                0.94597,                0.39088,                0.42485,                0.27397,                 1.8266,                 2.4783,                 1.5974,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.63716,                 0.9045,                 1.0846,                0.94529,                0.39059,                0.42168,                0.30783,                 1.8363,                 2.5066,                  1.604,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.69265,                 1.0385,                 1.0727,                0.94529,                0.39059,                0.42168,                0.30783,                 1.8363,                 2.5066,                  1.604,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.93803,                   1.73,                 1.3426,                0.94529,                0.39059,                0.42168,                0.30783,                 1.8363,                 2.5066,                  1.604,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.61371,                0.99851,                 1.1231,                0.94513,                0.39174,                0.42131,                0.29256,                 1.8526,                 2.5116,                 1.6053,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.87901,                0.87182,                 1.3603,                0.94513,                0.39174,                0.42131,                0.29256,                 1.8526,                 2.5116,                 1.6053,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0036,                 1.2938,                 1.3792,                0.94513,                0.39174,                0.42131,                0.29256,                 1.8526,                 2.5116,                 1.6053,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.58365,                0.60386,                 1.0448,                0.94677,                0.39005,                0.42131,                0.29252,                 1.8617,                 2.5434,                 1.6103,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.66728,                0.87626,                 1.0528,                0.94677,                0.39005,                0.42131,                0.29252,                 1.8617,                 2.5434,                 1.6103,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.65854,                0.69146,                   1.16,                0.94677,                0.39005,                0.42131,                0.29252,                 1.8617,                 2.5434,                 1.6103,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.68873,                0.56695,                 1.1238,                0.94595,                0.39019,                0.42186,                0.29266,                 1.8394,                 2.5157,                 1.5706,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 0.5822,                0.84126,                 1.1021,                0.94595,                0.39019,                0.42186,                0.29266,                 1.8394,                 2.5157,                 1.5706,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.61573,                0.58861,                 1.0745,                0.94595,                0.39019,                0.42186,                0.29266,                 1.8394,                 2.5157,                 1.5706,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.79168,                 1.0914,                  1.139,                0.94562,                0.39099,                0.42139,                0.29337,                 1.8155,                 2.4665,                   1.53,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.58083,                0.72096,                 1.0974,                0.94562,                0.39099,                0.42139,                0.29337,                 1.8155,                 2.4665,                   1.53,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.64413,                0.78551,                 1.1069,                0.94562,                0.39099,                0.42139,                0.29337,                 1.8155,                 2.4665,                   1.53,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.50897,                0.46311,                0.98623,                0.93974,                0.38912,                0.42305,                0.29457,                 1.8256,                 2.4659,                 1.5394,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.75231,                0.69778,                 1.1561,                0.93974,                0.38912,                0.42305,                0.29457,                 1.8256,                 2.4659,                 1.5394,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.80414,                0.77334,                 1.1959,                0.93974,                0.38912,                0.42305,                0.29457,                 1.8256,                 2.4659,                 1.5394,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.59352,                0.59631,                 1.0295,                0.93772,                  0.388,                0.42131,                0.29353,                 1.8326,                 2.5031,                 1.5502,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.63132,                 0.7884,                 1.1528,                0.93772,                  0.388,                0.42131,                0.29353,                 1.8326,                 2.5031,                 1.5502,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.85737,                0.83745,                 1.1379,                0.93772,                  0.388,                0.42131,                0.29353,                 1.8326,                 2.5031,                 1.5502,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.66066,                0.78607,                 1.0181,                0.93772,                  0.388,                0.42131,                0.29353,                 1.8326,                 2.5031,                 1.5502,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.79175,                0.85028,                 1.3842,                 0.9384,                0.38727,                0.42047,                0.29329,                  1.806,                 2.5155,                 1.5112,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                  1.079,                 1.0377,                  1.513,                 0.9384,                0.38727,                0.42047,                0.29329,                  1.806,                 2.5155,                 1.5112,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.58555,                0.64996,                0.97833,                 0.9384,                0.38727,                0.42047,                0.29329,                  1.806,                 2.5155,                 1.5112,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.52486,                0.51068,                0.92937,                 0.9384,                0.38727,                0.42047,                0.29329,                  1.806,                 2.5155,                 1.5112,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.67712,                0.71738,                0.95429,                0.94449,                0.38778,                0.42061,                0.29213,                 1.8047,                  2.571,                 1.5046,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.40903,                0.47636,                 0.9553,                0.94449,                0.38778,                0.42061,                0.29213,                 1.8047,                  2.571,                 1.5046,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.54844,                0.53285,                0.89046,                0.94449,                0.38778,                0.42061,                0.29213,                 1.8047,                  2.571,                 1.5046,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.43489,                0.49563,                0.93192,                0.94449,                0.38778,                0.42061,                0.29213,                 1.8047,                  2.571,                 1.5046,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.45028,                0.48345,                0.96984,                0.94111,                0.38333,                0.41872,                0.29045,                 1.8289,                 2.6218,                 1.5428,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.67092,                0.69233,                 1.0224,                0.94111,                0.38333,                0.41872,                0.29045,                 1.8289,                 2.6218,                 1.5428,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.48138,                0.53404,                0.91021,                0.94111,                0.38333,                0.41872,                0.29045,                 1.8289,                 2.6218,                 1.5428,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.55817,                0.60372,                0.95468,                0.94111,                0.38333,                0.41872,                0.29045,                 1.8289,                 2.6218,                 1.5428,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.46689,                0.49085,                0.97121,                0.94831,                0.38108,                0.41901,                0.29003,                 1.8018,                 2.6619,                 1.5036,             2.3444e-06,             2.3444e-06,             2.3444e-06
